date,ticker,close,volume
2016-11-28,MDT,73.99,7525125.0
2016-11-29,MDT,73.42,6760994.0
2016-11-30,MDT,73.01,11613719.0
2016-12-01,MDT,71.88,9619033.0
2016-12-02,MDT,72.01,6521589.0
2016-12-05,MDT,71.67,8078168.0
2016-12-06,MDT,72.11,6504670.0
2016-12-07,MDT,72.22,7482092.0
2016-12-08,MDT,72.07,9466183.0
2016-12-09,MDT,73.35,7160431.0
2016-12-12,MDT,73.71,6144778.0
2016-12-13,MDT,73.37,6630678.0
2016-12-14,MDT,73.3,5438938.0
2016-12-15,MDT,73.44,6240281.0
2016-12-16,MDT,73.46,9969735.0
2016-12-19,MDT,73.1,4585055.0
2016-12-20,MDT,72.44,6851461.0
2016-12-21,MDT,71.58,7623966.0
2016-12-22,MDT,71.74,5846714.0
2016-12-23,MDT,71.95,3124465.0
2016-12-27,MDT,71.77,3256597.0
2016-12-28,MDT,71.81,5581682.0
2016-12-29,MDT,71.54,3893469.0
2016-12-30,MDT,71.23,5631189.0
2016-01-04,MMM,146.82,3277188.0
2016-01-05,MMM,147.46,2688082.0
2016-01-06,MMM,144.49,2997126.0
2016-01-07,MMM,140.97,3553519.0
2016-01-08,MMM,140.49,2663879.0
2016-01-11,MMM,140.46,2775527.0
2016-01-12,MMM,140.86,2363612.0
2016-01-13,MMM,138.72,2598252.0
2016-01-14,MMM,141.18,3720400.0
2016-01-15,MMM,138.69,4683496.0
2016-01-19,MMM,138.39,3399796.0
2016-01-20,MMM,136.96,4136313.0
2016-01-21,MMM,137.76,3355469.0
2016-01-22,MMM,139.52,2979077.0
2016-01-25,MMM,137.57,2805399.0
2016-01-26,MMM,144.78,5128273.0
2016-01-27,MMM,145.55,3596279.0
2016-01-28,MMM,147.32,3067920.0
2016-01-29,MMM,151.0,3993161.0
2016-02-01,MMM,148.73,2700383.0
2016-02-02,MMM,147.87,3581729.0
2016-02-03,MMM,152.52,5766459.0
2016-02-04,MMM,153.44,3458366.0
2016-02-05,MMM,153.47,3368475.0
2016-02-08,MMM,153.9,2505155.0
2016-02-09,MMM,154.74,2968409.0
2016-02-10,MMM,152.45,2911985.0
2016-02-11,MMM,150.67,3182232.0
2016-02-12,MMM,153.96,2292155.0
2016-02-16,MMM,155.53,2140576.0
2016-02-17,MMM,156.62,2156064.0
2016-02-18,MMM,156.78,2010218.0
2016-02-19,MMM,156.45,2121331.0
2016-02-22,MMM,157.7,2207565.0
2016-02-23,MMM,156.17,1922760.0
2016-02-24,MMM,157.22,1937494.0
2016-02-25,MMM,158.99,1718362.0
2016-02-26,MMM,158.27,1843721.0
2016-02-29,MMM,156.87,1992551.0
2016-03-01,MMM,159.59,2204125.0
