date,AAPL,ABBV,ABT,AMGN,AMZN,AVGO,BA,BAC,BMY,C,CELG,CMCSA,CSCO,CVX,DIS,DWDP,FB,GE,GILD,GOOG,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MDT,MMM,MO,MRK,MSFT,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,T,UNH,V,VZ,WFC,WMT,XOM
2001-03-22,180825580,,12932877,48611900,6594600,,6703700,20123800,8180600,3046000,19102400,535199,119093500,9461800,9120200,,,55941400,49011200,,,14021200,11262700,13328200,94022700,13565000,15668200,14688800,,7568600,7519300,13475400,15871722,7424200,126363200,42443978,63980900,304100.0,6320300,27416100,12140800,,9854000,17008000,,6587000,13750400,11913900,18738000
2001-03-23,236222236,,7546814,14431300,3754400,,4632500,15785400,5221800,1957700,16706400,283400,128395900,7401600,7514800,,,45736600,35204800,,,10532600,7004600,12233600,84795800,11490200,10763200,15672800,,5210200,4735100,7820400,13570113,8551900,99519600,37741781,72068300,155400.0,7927700,20882000,10576200,,7723700,8599600,,5984800,11197200,8282000,17656800
2001-03-26,183612983,,7190359,13068700,6850600,,4780200,11939200,3644400,1384600,17420800,319799,120308100,3789800,5302700,,,31143900,29200000,,,8100700,5637700,8581200,64433900,17008200,8319900,11227600,,5164300,4263300,5447400,9361076,5351100,63118600,38573980,34392600,68100.0,3998400,15798700,9347000,,8647000,5816000,,5553600,7449800,6841800,14797200
2001-03-27,135955535,,8695382,10757500,5603200,,3634800,19161000,4036100,2087900,7232800,417200,104520000,5296600,8223600,,,36552300,15516800,,,8471200,4301100,11851200,72645800,66045400,12254000,13466000,,5708700,4534600,6526400,11082633,5639900,95135600,42553778,43943800,194800.0,3985100,15243100,8022800,,7986700,9350000,,5909900,10969800,9784800,14715800
2001-03-28,146165746,,6417379,9290400,3386900,,2861600,13029000,3196500,1438200,12820800,273599,185769200,3563000,9152100,,,26863900,17827200,,,8035200,5104300,11890500,73000000,34455000,7315300,14176000,,4168800,3453200,4470600,9193094,4856600,78681600,35831982,46438000,104500.0,4077200,12059700,6436000,,6902900,10938800,,6788400,7249800,6875900,11226800
2001-03-29,153266553,,7446558,9936500,4638400,,2814300,11123800,5111300,1119100,14798400,117599,141756600,3887800,3530000,,,26964700,22908800,,,7181800,2124500,10553700,64852600,19979200,6688200,15293800,,5678900,3557800,4987000,7083320,5395900,86985000,40823979,54250500,192300.0,3542400,15641000,6630200,,6250100,6665200,,5517200,7696600,7754000,9389000
2001-03-30,100087500,,6475096,7176800,3558400,,3742700,12760800,5637900,1717400,11952000,119399,99565700,3907000,3838300,,,29428100,14294400,,,7060200,5006100,9461300,47297100,15620600,8463000,10279600,,5845400,4021400,3696200,6778082,4633300,91201600,35579382,36956100,314000.0,3229000,14502100,5598600,,5861200,11462400,,5332500,9081600,8308400,13186600
2001-04-02,85227885,,6162783,10778300,8803900,,3182600,16126800,3789900,1566100,13435200,242399,75519700,5444400,3989900,,,24248400,25326400,,,7320100,3107700,8787000,44925500,11472600,8743100,10424800,,4560200,4120500,4640600,6324573,5063200,75924000,31628984,39034400,987900.0,3854700,15844200,5976800,,5819600,7739600,,5687600,10105000,7437900,13300400
2001-04-03,92171892,,9168982,13715100,4865700,,3337500,14116800,7831000,1508200,41403200,332000,138417400,5366200,7321800,,,23599300,17044800,,,7647300,4686200,13330000,57239500,11116400,9050300,9345400,,5562400,5023000,6518000,8415245,5946800,94187600,49790375,71558000,257400.0,3017700,16348200,6508200,,6639300,9202000,,6181700,10468600,8692100,14200800
2001-04-04,171371371,,9312954,13447600,5708100,,2954700,18445800,4700300,2094100,36592800,246599,161707700,5048400,6382300,,,26831300,12929600,,,7249300,5350400,13515600,84555800,12378800,11634000,8798600,,5456000,7121500,8049800,7618697,5091100,104046600,84061757,49247500,130900.0,2606600,13844800,8031000,,5991300,8889200,,7623500,23293200,7962100,11742600
2001-04-05,111690711,,9631038,14891000,5424200,,2704800,11382400,3561000,1628500,17208800,333200,115077200,4891800,5385600,,,23794700,20753600,,,6122500,7598400,12506100,67714900,13455200,8644900,9242200,,4362000,5666300,5920400,10539776,5105500,113364000,43118978,44283900,199800.0,3383100,12532100,6476400,,8446500,15155600,,9124200,13356400,7790000,11078400
2001-04-06,81222481,,6945382,12797600,5281100,,2785500,26638400,3360200,1656800,12618400,375599,97979300,4428400,4026200,,,24653200,19417600,,,6806900,9734200,13424200,73965900,14415200,9789600,7907800,,3312400,3464900,3722600,8575141,4687900,92622000,38691580,43585800,115400.0,5701900,11796900,6028200,,7133700,7660800,,7485300,18965400,7634400,12139000
2001-04-09,66645666,,7998396,11315400,23405700,,2549800,9621200,3412000,1116500,11020000,69800,75640100,4455000,3350700,,,17781300,13137600,,,6231900,5320900,9486600,60543900,10147000,7386400,8231600,,3673600,2393800,3954400,6033587,4423000,56295600,27428986,28898900,214200.0,6127100,10380500,5214200,,5761600,6402800,,6172200,10633800,7287300,11913800
2001-04-10,114343714,,6826635,15074600,18860400,,4486300,12583200,4046200,1634600,13064000,572000,113387300,5972000,4738700,,,26111100,43772800,,,5711500,8495500,10499400,55847600,16289800,7962300,11896400,,3751400,4150800,7774400,6973859,5908000,109199400,29660385,48270800,241700.0,5876700,14440400,10685000,,6794400,21452800,,7847400,12543600,6986500,12221600
