,1. open,2. high,3. low,4. close,5. volume 
2022-02-11 12:27:00,171.73,171.77,171.6735,171.6735,73300.0
2022-02-11 12:28:00,171.68,171.76,171.65,171.75,64774.0
2022-02-11 12:29:00,171.7491,171.94,171.7491,171.81,134911.0
2022-02-11 12:30:00,171.815,171.89,171.78,171.81,72263.0
2022-02-11 12:31:00,171.8,171.89,171.73,171.855,98584.0
2022-02-11 12:32:00,171.8514,171.93,171.82,171.83,65509.0
2022-02-11 12:33:00,171.83,171.91,171.79,171.8118,71752.0
2022-02-11 12:34:00,171.82,172.02,171.82,171.97,124337.0
2022-02-11 12:35:00,171.97,172.04,171.865,171.885,115768.0
2022-02-11 12:36:00,171.88,171.96,171.81,171.8558,51726.0
2022-02-11 12:37:00,171.86,172.02,171.85,172.0001,273285.0
2022-02-11 12:38:00,172.005,172.07,171.885,171.89,90395.0
2022-02-11 12:39:00,171.89,171.91,171.78,171.78,69390.0
2022-02-11 12:40:00,171.79,171.96,171.766,171.89,68373.0
2022-02-11 12:41:00,171.89,171.93,171.85,171.87,59984.0
2022-02-11 12:42:00,171.87,171.99,171.87,171.89,77922.0
2022-02-11 12:43:00,171.89,171.94,171.82,171.86,61207.0
2022-02-11 12:44:00,171.85,171.85,171.73,171.84,96854.0
2022-02-11 12:45:00,171.83,171.915,171.825,171.85,75791.0
2022-02-11 12:46:00,171.85,171.884,171.73,171.75,76512.0
2022-02-11 12:47:00,171.76,171.785,171.67,171.754,72753.0
2022-02-11 12:48:00,171.75,171.7577,171.66,171.7,57699.0
2022-02-11 12:49:00,171.7,171.8381,171.67,171.83,95177.0
2022-02-11 12:50:00,171.8231,171.94,171.71,171.76,100420.0
2022-02-11 12:51:00,171.76,171.84,171.7121,171.79,76748.0
2022-02-11 12:52:00,171.78,171.78,171.47,171.55,170564.0
2022-02-11 12:53:00,171.555,171.58,171.48,171.53,101423.0
2022-02-11 12:54:00,171.53,171.53,171.41,171.41,88235.0
2022-02-11 12:55:00,171.41,171.43,171.35,171.4098,113532.0
2022-02-11 12:56:00,171.41,171.5341,171.38,171.4516,105948.0
2022-02-11 12:57:00,171.455,171.5481,171.43,171.52,107892.0
2022-02-11 12:58:00,171.52,171.53,171.47,171.5103,103738.0
2022-02-11 12:59:00,171.515,171.56,171.46,171.515,67066.0
2022-02-11 13:00:00,171.52,171.5801,171.49,171.515,82087.0
2022-02-11 13:01:00,171.51,171.64,171.47,171.56,112200.0
2022-02-11 13:02:00,171.57,171.59,171.42,171.47,127955.0
2022-02-11 13:03:00,171.47,171.5599,171.437,171.54,104622.0
2022-02-11 13:04:00,171.5417,171.5642,171.37,171.395,86398.0
2022-02-11 13:05:00,171.405,171.501,171.405,171.47,77506.0
2022-02-11 13:06:00,171.47,171.58,171.37,171.5518,129564.0
2022-02-11 13:07:00,171.55,171.59,171.51,171.54,63326.0
2022-02-11 13:08:00,171.54,171.63,171.54,171.5873,87731.0
2022-02-11 13:09:00,171.585,171.85,171.585,171.78,215777.0
2022-02-11 13:10:00,171.78,171.81,171.64,171.76,127212.0
2022-02-11 13:11:00,171.7617,171.77,171.64,171.645,63975.0
2022-02-11 13:12:00,171.65,171.6597,171.57,171.58,123232.0
2022-02-11 13:13:00,171.59,171.64,171.57,171.585,60219.0
2022-02-11 13:14:00,171.59,171.59,171.49,171.51,94741.0
2022-02-11 13:15:00,171.5195,171.59,171.5195,171.57,67404.0
2022-02-11 13:16:00,171.585,171.63,171.53,171.58,324320.0
2022-02-11 13:17:00,171.58,171.59,171.46,171.49,80598.0
2022-02-11 13:18:00,171.485,171.55,171.47,171.4919,57061.0
2022-02-11 13:19:00,171.48,171.55,171.39,171.5,136684.0
2022-02-11 13:20:00,171.5,171.625,171.4628,171.565,87975.0
2022-02-11 13:21:00,171.56,171.64,171.5,171.605,66578.0
2022-02-11 13:22:00,171.605,171.61,171.425,171.48,89777.0
