date,AAPL,ABBV,ABT,AMGN,AMZN,AVGO,BA,BAC,BMY,C,CELG,CMCSA,CSCO,CVX,DIS,DWDP,FB,GE,GILD,GOOG,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MDT,MMM,MO,MRK,MSFT,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,T,UNH,V,VZ,WFC,WMT,XOM
2011-12-14,48.4888276925,,22.4559646388,50.2293067362,180.21,25.6621914549,59.7003557872,4.9168213651,27.9205754411,25.1846873283,31.515,10.3367728263,14.794643755,79.288237516,32.3834878083,,,13.3887091035,18.0604620044,,309.9919153459,34.2440404614,45.0615698795,158.0192873106,19.0617956914,52.6500588524,26.5369200393,27.3429561238,34.7861115038,80.4423385254,30.7816218325,67.2792201198,21.5232676938,28.7830744238,21.69133185,12.5840254348,27.5011039867,445.19,53.4408442091,16.6731257811,52.8601154637,56.9018811784,20.5431482839,43.2955870806,22.9594860875,28.3728115985,21.7041828386,49.10349495,65.2533415703
2011-12-15,48.3294046813,,22.7292623829,51.1010406261,181.26,25.7068835334,60.2722636851,4.9450249294,28.3591618366,25.0541716742,31.55,10.3858256741,14.8440140901,78.6099535783,32.4111187706,,,13.5338004724,17.9346538325,,310.7291912459,34.4890157125,45.8133244886,156.9810088225,19.0617956914,53.3333929496,26.7474636765,27.6029329176,34.6021242615,80.8791220458,30.8077374619,67.5791529569,21.807947183,29.430612656,21.6659023871,12.4728263882,26.727721752,445.39,54.1675327753,16.8969261271,53.3030085956,57.7075984379,20.5288871605,43.984545334,22.8308214706,28.4914642346,21.4943589519,49.3590205091,65.7379774153
2011-12-16,48.5946845719,,22.7292623829,52.3476200886,181.26,25.8504974079,60.6137012361,4.8886178009,28.3177857616,25.1653516759,31.845,10.4036630733,14.7617301982,79.5485092596,32.5308529405,,,13.7111343679,17.3149320971,,313.9491308912,35.3639273237,46.4164764424,153.7070822997,18.9963755431,53.583393229,26.8569463679,27.8298967852,34.886293039,80.3434441435,30.7293905738,67.5877224665,21.8304218795,29.3415761491,22.0388678429,12.5191593243,26.8934465166,457.08,54.0505943853,16.8090045626,53.4260344656,57.4643630388,20.5716705307,44.4196768625,23.2168153213,28.7584326657,21.8048983042,49.6315811056,65.8447615845
2011-12-19,48.7464552785,,22.5056551377,52.447869486,179.33,24.7285140134,59.8881464403,4.6864922572,28.3591618366,23.9955447021,32.29,10.1963033078,14.5560204686,78.6493886909,32.0058646569,,,13.5902248937,17.4593785166,,311.8777366957,35.1714467692,45.7084284966,153.137703774,18.885979043,52.9417258451,25.8547586546,27.8010104748,34.5568499138,80.1374141811,30.5552863779,66.6879239552,21.9802531896,29.5196491629,21.6404729242,12.1901954783,26.3456341004,459.73,53.7666011526,16.8969261271,53.270201697,57.9204294121,20.4932343519,44.3924811419,23.4884406237,28.6471958194,21.2425702879,49.2142226923,65.3272690721
2011-12-20,50.4988330173,,22.7168397582,53.3152447064,182.52,25.8774250093,61.8343404808,4.8604142367,28.9880781773,25.088009066,33.215,10.4326488469,15.1443502954,81.7647625911,33.3137302055,,,13.9287714213,17.7808882891,,316.1609585914,36.7025420888,47.5178843579,156.7800516958,19.4952041734,53.7667267673,27.1264422236,28.2260518996,36.0181517291,81.4395235435,31.4867438259,68.8217318535,22.3698145958,30.0053028371,22.0600590619,12.8805562256,26.8566187912,480.09,54.7355192408,17.1526979512,53.9591465688,58.8857699023,20.7641956969,45.1630265569,24.148442455,29.0773116251,22.2413319885,50.4151928203,67.3561682876
2011-12-21,50.5619645297,,22.957010503,55.0412778084,174.35,25.051645231,62.8159734398,4.9168213651,29.2032337676,25.2330264595,33.275,10.519606168,14.7452734199,83.1528785568,33.4058334131,,,14.2592573173,18.1023980616,,313.8789141388,36.7462876693,47.3692817027,151.9487074409,19.364363877,54.1333938438,27.219081424,28.7088659452,36.0441603968,81.7526890864,32.0961085115,68.5560770549,22.7069350435,30.2157527626,21.8354321397,12.7137576558,23.7262621271,472.33,55.1615090899,17.3285410802,54.1313827868,60.0220272616,20.8925458076,45.3171356399,23.9983337353,29.0921432046,22.5686572517,50.5855431931,68.2761549764
2011-12-22,50.8304328805,,23.0439688761,55.2112659169,179.03,26.0479664853,63.413489154,5.142449879,29.0377294674,26.7315395251,33.545,10.5374435671,14.9180695928,83.8469365396,34.0321352251,,,14.6864707926,18.0325046328,,315.8249212764,36.6762947404,47.7626416725,152.4259806169,19.6423995069,54.3167273821,28.1707386643,28.5520545458,35.7619181873,81.2582171766,32.7228836166,69.3873194892,22.6470025195,30.3978728904,21.8778145779,13.2558530077,23.6526066762,479.69,55.1615090899,17.2885767327,54.2872155554,59.7686725801,21.1492460292,45.9879634129,23.9554455296,29.1366379431,22.8708036485,50.4151928203,69.2372124995
2011-12-23,51.4400664752,,23.1971812478,55.5207314479,177.28,26.38007357,63.1403391133,5.264665324,29.0542798974,26.5478508267,33.66,10.6310899128,15.1937206305,84.785492221,34.7229092825,,,14.8329286731,18.3074187861,,317.5502471922,36.8250297143,48.0598469831,154.6951215061,19.953145211,54.9833947939,28.2717996102,28.8615507289,36.4265841415,82.5356029436,32.9405138615,70.4413691739,22.662191656,30.6771237531,22.0642973058,13.1307540803,23.9932631367,481.73,55.6042044233,17.4484341228,54.6808983393,60.4596398932,21.2989878251,46.5500083038,24.4176850793,29.6483274362,23.319826766,51.0965943114,70.0011300179
2011-12-27,51.8481893838,,23.2841396209,56.1570971875,176.27,26.3351942343,63.3964172765,5.1518510671,29.1535824775,26.0064525578,34.005,10.6132525137,15.2883471061,85.1640693025,34.6400163956,,,14.6539245969,18.5823329395,,321.116255117,36.9387682238,48.0336229851,154.8625857783,20.0839855075,55.0167281645,27.8170253538,28.8367910342,36.0990675844,82.8652508834,32.8621669734,70.509925251,22.571056837,30.5557103346,22.0727737934,13.028821621,23.5927616223,484.21,55.4455023226,17.4004769058,54.7793190353,60.5210592099,21.4202073741,46.5500083038,24.2818724281,29.6557432259,23.1729500454,50.9603140132,70.0504150191
2011-12-28,51.352064973,,23.1185046245,55.7909689537,173.89,25.7966422049,62.5342874603,4.9685278996,29.0129038223,25.2620299382,33.4,10.4594049457,14.9427547603,83.570890751,34.2992345273,,,14.5074667165,18.5869925014,,320.8404035898,36.3350792121,47.1857137167,154.0587572715,19.8100386368,54.5417276336,27.4969990251,28.6841062506,36.0056290372,82.0658546293,32.5836002599,69.5415706626,22.571056837,30.2966950416,21.8862910655,12.7044910686,23.4868819116,475.4,55.0529234421,17.2086480377,54.5742759186,60.275381943,21.3560323187,45.9698329326,23.9983337353,29.4851800616,22.753302272,50.8751388268,69.146856664
